VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
HUAWEI,03033HCK,TMB1LDX01  2X10GB/S Wavelength Conversion Board NE40E-X3A,150122PILv,1,SPARE
HUAWEI,03033HED,TNS7N502C01 Programmable 2x200G/100G Hybrid Board,VODAFONE,10,SPARE
HUAWEI,03033TBC,TMP2CTU02 SYSTEM CONTROL AND COMMUNICATION BOARD WITH CLOCK PROCESSING FUNCTION ,VODAFONE,1,SPARE
HUAWEI,03033VFQ,OPTICAL CARD OXC 32 DEGREE *32-PORTS ADD AND DROP COLORLESS TMP2OT3232N01,150122PILv,4,SPARE
HUAWEI,03033VGS,OXC 32D OPTICAL LINE BOARD TMP2ON32S01,150122PILv,3,SPARE
HUAWEI,03050GVR,SL95CSHUF01 TDM-HYBRID-PACKET LARGE CAPACITY SYSTEM CONTROL AND CROSS-CONNECT BOARD,150122PILv,0,SPARE
HUAWEI,03052602,CN21MSPB0 MULTIMEDIA SERVICE PROCESS UNIT B 8GB MEMORY,150122PILv,2,SPARE
HUAWEI,03052781,SPUb Signalling Processing Unit,150122PILv,1,SPARE
HUAWEI,03052799,PARC WP11DPUE DATA PROCESSING UNIT REVe,150122PILv,3,SPARE
HUAWEI,03053067,WP11SCUb GE Switching and Control Unit REV:b,150122PILv,51,SPARE
HUAWEI,03053557,WP22MPUB4 - Main Processing Unit B4 - PGP,150122PILv,0,SPARE
HUAWEI,03054280,ANDD00EM8T00 8 Channels GE/FE Electric Interface Board,150122PILv,14,SPARE
HUAWEI,03054330,WP1D000TNU01 TDM Switching Network Unit,150122PILv,26,SPARE
HUAWEI,03054387,ANDD16E11202 16 Channels E1 Interface Board(120ohm),150122PILv,1,SPARE
HUAWEI,03054601,AE35X3 GE -10GE FC Exchange Rear Board 2,150122PILv,0,SPARE
HUAWEI,03054676,AE34AKI Interface Cell 1,150122PILv,0,SPARE
HUAWEI,03054839,AE11EX650 ATAE EX650 GE/10GE/FC SWITCING BOARD,150122PILv,2,SPARE
HUAWEI,03055053,CR5D0EMGFA7J 48-Port 100/1000Base-X-SFP Integrated Line Processing Unit E(LPUI-51-E),150122PILv,8,SPARE
HUAWEI,03056114,ANDD00EM8F01 8 Channels GE/FE Optical Interface Board,150122PILv,2,SPARE
HUAWEI,03057252,WD2DUMPTE201Universal Main Processing & Transmission Unit (2 Electrical FE/GE&2 Optical FE/GE/XGE -UMPTe2).,150124TJKn,22,SPARE
