VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
ADVA,1061701421-05,XFP/11G/D1550.92V/SM/LC#D21,,,,,
ADVA,1061701428-05,XFP/11G/D1557.36V/SM/LC#D28,,,,,
ADVA,1061701465-05,XFP/11G/D1532.68V/SM/LC#DC1,,,,,
ADVA,1061701466-05,XFP/11G/D1536.61V/SM/LC#DC2,,,,,
ADVA,1061701467-05,XFP/11G/D1540.56VSM/LC #DC3,,,,,
ADVA,1061701833-02,XFP/8G/1310S/SM/LC,,,,,
ADVA,1061701837-02,XFP/8G/850I/MM/LC,,,,,
ADVA,1061701854-03,SFP+/11GU/850I/MM/LC,,,,,
ADVA,1061702019-01,SFP+/11GU/#19510L50/SM/LC#DC2,,,,,
ADVA,1061702023-01,SFP+/11GU#19490L50/SM/LC#D10,,,,,
ADVA,1061702201,XFP/8G/#19580L/SM/LC#D02,,,,,
ADVA,1061702203,XFP/8G/#19570L/SM/LC#D04,,,,,
ADVA,1061702213,XFP/8G/#19470L/SM/LC#D12,,,,,
ADVA,1061702215,XFP/8G/19450L/SM/LC,,,,,
ADVA,1061702217,XFP/8G/#19430L/SM/LC#D15,,,,,
ADVA,1061702218,XFP/8G#19420L/SM/LC#D16,,,,,
ADVA,1061702223,XFP/8G/#19370L/SM/LC#D18,,,,,
ADVA,1063707635-01,5TCE-PCTN / 8GU+AES10GS-V #DC,,,,,
ADVA,1063707640-01,5TCE-PCN 10GU+10G,,,,,
ADVA,1063708423-01,WW SCU-II,,,,,
ADVA,1063708481,OSFM+ #1510,,,,,
ADVA,1078708790,40-PORT MUX/DMX CHANNEL SPLITT,,,,,
ADVA,4000.1220,AC/DC Power Supply,,,,,
ADVA,4001.1230,DC/DC Power Supply,,,,,
ADVA,4030972002,FSP3007 R7  SH7 HU,,,,,
ADVA,607800002,0,,,,,
ADVA,78700101,FSP-3000R7-7HU CHASSIS,,,,,
ADVA,ADVAFSP-2000FAN,FAN UNIT,,,,,
ADVA,UN344269584,SFP+/11GU850I/MM/LC,,,,,
ADVANCED ENERGY,D18368-011,MPCMM0001Q Advanced Energy TCA Chassis Management Module,€547.4,$0.00,,,
ADVANCED ENERGY,D79488-006,-48V B TCA POWER,€230.0,$0.00,,,
AEG,3AW01052AA,ACM1000,,,,,
AEG,3AW01177AC,SMI2000HD,,,,,
AEG,ACMI1000HD-1U,Control Module,,,,,
AEG,MPI80HD,DC CORE POWER MODULE,,,,,
AEG,S.E.48V700W1U,,,,,,
AEG,T302007000,CANDIS TCP-IP,,,,,
AEG,T322010000,TSI-T2S-BRAVO,,,,,
AETHRA,TRQ2102,ISDN NETWORK TERMINATION,,,,,
AGILENT,HFBR5601,1000BASE SX 850NM,,,,,
AGILENT,HFCT5611,1000BASE LX 1300NM,,,,,
AGISSON,27100046,DTMA2100 ATA212001 Low Noise Amplifier,€0.0,$0.00,,,
AGISSON,ATA212001,DTMA21 007 2100 12dB AISG2 0 ATA212001,€0.0,$0.00,,,
AGUILERA,AE/AX30TRISA-PA-05,ALARM CONTROLLER,,,,,
AIRSPAN,AIRVELOCITYNG1200,FEMTOCELL 2 -6GHZ - High Speed Indoor LTE Small Cell,€54.8,$0.00,,,
ALBRIGHT,CZJ-150S/48-48AL,CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,CZJ-300S/48-48AL,CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,RU80F-5009M,Low Voltage Contactor,€0.0,$0.00,,,
ALBRIGHT,SU80-5056FM,Albright SU80-5056FM 60V CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SU80F-5056M,CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SW150A-100460V,Albright SW150A-1004 60V  Bara contactor,€0.0,$0.00,,,
ALBRIGHT,SW250A-1004-60V,CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SW260-47M,Albright SW260-47M 60V  BUSBAR CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SW280-47M48V,Albright SW280-47M 48V DC CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SW300-1004M,Albright SW300-1004M 48/60V  CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SW560-45M,Albright SW560-45M 60V BUSBAR CONTACTOR,€0.0,$0.00,,,
ALBRIGHT,SW800-53M-60V,CONTACTOR,€0.0,$0.00,,,
ALLGON,80570.01A,APDU ,,,,,
ALLGON,ALR6200/00102,Cellular Telephone Repeater,,,,,
ALLGON,AR1100/00202,6 channel GSM,,,,,
ALLGON,AR1100/00402,Cellular Telephone Repeater,,,,,
ALLGON,EA10122/1,Upgrade Kit 2CH-4CH inkl.Dok,,,,,
ALLGON,FG20086,12V/0.8H Battery,,,,,
ALLGON,K101/1,LNA Board UL,,,,,
ALLGON,K101/2,LNA Board DL,,,,,
ALLGON,K102/1,CHA Board UL 2W,,,,,
ALLGON,K102/2,CHA Board DL 2W,,,,,
ALLGON,K102/3,CHA Board UL 2W,,,,,
